sid,pmid,pmcid
Villesen2007,18473019,PMC2376067
17541571,17541571,
PKDB01044,36648126,
PKDB01047,26283739,
PKDB01050,20671294,
PKDB01053,33584289,PMC7878668
PKDB00336,4041343,PMC1400690
PKDB00334,44299,
PKDB00337,6106621,
PKDB00335,769632,
PKDB00333,18662285,PMC2561122
PKDB00332,3197746,
PKDB00529,24648255,
PKDB00530,3371390,
PKDB00531,12774293,
PKDB00532,16291718,
Fux2005,16198657,
PKDB00533,18834373,
PKDB00534,1094802,
PKDB00536,7144837,
PKDB00537,3371389,
PKDB00538,4155762,
PKDB00539,3371395,
PKDB00198,7075126,
PKDB00197,6897933,
PKDB00160,7104162,PMC1427583
PKDB00223,3271619,
PKDB00023,7320146,
PKDB00180,1633071,PMC1381380
PKDB00193,11196522,
PKDB00024,2306420,PMC1380095
PKDB00176,,
24517114,24517114,PMC3928318
Borin1989,,
PKDB00122,,
PKDB00262,7397068,PMC1429941
PKDB00025,9248766,
PKDB00145,8988067,
PKDB00026,21143403,
4851431,4851431,
PKDB00186,10395,
PKDB00195,6487489,PMC1463596
PKDB00027,15811172,
PKDB00170,940917,
PKDB00212,1487229,
PKDB00153,7161411,
PKDB00196,7056022,
PKDB00184,8853667,
10412886,10412886,
PKDB00155,499292,
PKDB00190,444368,
PKDB00121,23436315,PMC4383763
Gugilla2002,12142633,
PKDB00192,4722050,PMC1776534
PKDB00028,7579030,
PKDB00159,2865542,
PKDB00029,15127815,
PKDB00191,8448070,PMC1381492
PKDB00169,2257860,
PKDB00163,24668698,
PKDB00123,7696381,
PKDB00218,7263926,
PKDB00156,5572442,
4942784,4942784,
PKDB00154,21241071,
PKDB00213,1263112,
PKDB00119,4027126,PMC1463861
PKDB00140,6705446,
PKDB00161,3768250,PMC1401133
PKDB00130,3191934,
PKDB00158,6861437,
4850385,4850385,
PKDB00164,7397056,PMC1430020
PKDB00194,,
1577043,1577043,
PKDB00225,4694406,PMC1589913
PKDB00166,6728897,
PKDB00183,9516037,
PKDB00124,760753,PMC1429435
7002186,7002186,PMC1430174
PKDB00151,7306429,PMC1401868
PKDB00120,2744070,
PKDB00224,9114910,PMC1364644
PKDB00030,862649,
PKDB00144,22454936,PMC1402535
PKDB00031,1800709,
PKDB00177,10864349,
PKDB00167,,
Seideman1980,,
PKDB00021,17202677,
PKDB00182,22524979,
PKDB00168,,
Sommers1985,4018818,
PKDB00264,3679251,
PKDB00157,3220092,
PKDB00142,16169713,
PKDB00215,10893655,
PKDB00118,16842311,
PKDB00261,6529526,PMC1463700
PKDB00174,1233203,
3113968,3113968,
PKDB00148,22725836,PMC3579260
PKDB00162,582149,
PKDB00134,2285011,
PKDB00132,11427360,
Bathala2012,22936313,
PKDB00566,19280523,
PKDB00608,19401473,
PKDB00703,6117520,
PKDB00569,17466606,
PKDB00561,17468862,
PKDB00704,11270803,
PKDB00612,24472704,
PKDB00572,21312289,
PKDB00613,10096260,
PKDB00706,10783825,
PKDB00563,15903127,
PKDB00615,12587122,
PKDB00707,6688879,
PKDB00708,2565889,
PKDB00619,8527689,
PKDB00556,16713700,
PKDB00562,10945310,
PKDB00709,8710739,
PKDB00570,21943317,
PKDB00571,22983284,
PKDB00617,19845435,
PKDB01027,32647054,
PKDB01028,25115916,
PKDB01029,32471908,
PKDB01035,37329393,PMC10299984
PKDB00721,16908937,
PKDB00722,23562906,
PKDB00723,15870716,PMC2361774
PKDB00729,22006162,
PKDB00904,26775063,
PKDB00907,12369756,
PKDB00908,8902432,
PKDB00945,21704609,
PKDB00903,24962635,PMC4153964
PKDB00946,1111111111,
PKDB00905,27121788,
PKDB00947,28260863,PMC5330189
PKDB00948,21208246,
PKDB00949,2361988,
PKDB00950,20685507,
PKDB00906,12369757,
PKDB00951,17603225,
PKDB00952,12235454,
PKDB01022,8216442,
PKDB00043,8807660,
PKDB00385,3628469,
PKDB00044,3371873,
PKDB00463,3557314,
PKDB00137,24165884,
PKDB00046,10416066,
PKDB00469,15022032,
PKDB00470,28758694,PMC5698589
PKDB00471,28929443,PMC5854751
PKDB00047,3756065,PMC1401099
PKDB00049,17971810,
PKDB00474,2060878,PMC1378889
PKDB00475,7742721,
PKDB00052,2482799,
PKDB00476,18703023,PMC2597011
PKDB00477,3241301,
PKDB00053,7333346,
PKDB00054,22483397,
PKDB00055,14578861,
PKDB00057,7359014,
PKDB00478,20853468,
PKDB00058,21827488,
PKDB00479,,
PKDB00480,32071850,PMC7016269
PKDB00059,6420303,
PKDB00481,6734698,
PKDB00484,6712142,
PKDB00485,3356110,
PKDB00486,2713214,PMC1379781
PKDB00487,8602388,
PKDB00061,10471076,
PKDB00062,3480885,
PKDB00488,16158445,
PKDB00489,8441739,
PKDB00136,24389476,
PKDB00491,3986300,
PKDB00492,25853045,PMC4382505
PKDB00063,20002088,PMC2810805
PKDB00493,2185297,
PKDB00383,4079279,
PKDB00339,27100333,PMC4898153
PKDB00494,27273149,PMC5297975
PKDB00875,23670707,
PKDB00879,24726680,
PKDB00880,27140803,
PKDB00882,25407255,PMC4558628
PKDB00883,27136908,
PKDB00884,26687552,
PKDB00885,26280756,PMC4569680
PKDB00887,24568888,
PKDB00888,31384829,PMC6661773
PKDB00625,6631711,
PKDB00627,7586943,
